line_id,molecule,transition,E(K),Aij(s-1),isNull,per01_intensity,median_intensity,mean_log_intensity,per75_intensity,per90_intensity,per95_intensity,per99_intensity,freq
h2_v1_j6__v0_j6,h2,v1_j6__v0_j6,5811.9272649,2.593e-07,False,-8.299334592691965,-6.614082535305842,-6.518836614733904,-5.826498873409175,-5.259490993132912,-4.801942758071031,-4.24609779836524,121100.91479120428
h2_v1_j6__v0_j4,h2,v1_j6__v0_j4,7604.78648019,4.188e-07,False,-7.98792010290978,-6.294567408277504,-6.207263661186917,-5.50820860287959,-4.940066541956222,-4.483756197962605,-3.928529705619918,158458.03940194994
h2_v1_j6__v1_j4,h2,v1_j6__v1_j4,1702.08634614,2.46e-08,False,-9.851296680224246,-8.169348672401934,-8.072475112374518,-7.381195100709709,-6.814239811887223,-6.358676111244926,-5.802432207250368,35465.724909535485
h2_v1_j7__v0_j9,h2,v1_j7__v0_j9,3144.53719795,4.967e-08,False,-9.133555299447684,-7.41833164614304,-7.247249477307154,-6.651381324683219,-5.925720780227807,-5.521435584896543,-4.998482925675033,65521.52391281988
h2_v1_j7__v0_j7,h2,v1_j7__v0_j7,5755.18687151,2.539e-07,False,-8.170857507590567,-6.46693466708171,-6.293409087181663,-5.68361820742089,-4.958441832744579,-4.557812914343437,-4.032460964708291,119918.63682522907
h2_v1_j7__v0_j5,h2,v1_j7__v0_j5,7837.50121748,3.954e-07,False,-7.858825465312885,-6.158745180987605,-5.984339704136679,-5.363638851642545,-4.639963709120152,-4.2377683007871685,-3.713232451535137,163307.02774724696
h2_v1_j7__v1_j5,h2,v1_j7__v1_j5,1976.30948988,5.436e-08,False,-9.297555941586223,-7.583466162905701,-7.412382811798537,-6.814541372310218,-6.087583940019304,-5.684793412109849,-5.161202541376585,41179.60811044738
h2_v1_j8__v0_j10,h2,v1_j8__v0_j10,2843.97563348,3.256e-08,False,-9.738766543220414,-8.048847323262347,-7.897498298979568,-7.295096441148278,-6.659207928804577,-6.368911179783198,-5.946560641583964,59258.837070847025
h2_v1_j8__v0_j8,h2,v1_j8__v0_j8,5691.28236059,2.486e-07,False,-8.56118130416387,-6.885807354554851,-6.729419987112506,-6.114280815213474,-5.477142297481614,-5.189515568115632,-4.7671486371401,118587.0828709265
h2_v1_j8__v0_j6,h2,v1_j8__v0_j6,8046.6262928,3.537e-07,False,-8.274732010217448,-6.602063582012862,-6.446245595613278,-5.82040175709224,-5.180981423493787,-4.895190372739225,-4.472855020806011,167664.48729082695
h2_v1_j8__v1_j6,h2,v1_j8__v1_j6,2234.69902646,1.048e-07,False,-9.335027565713526,-7.6460360954831135,-7.494680141552247,-6.892337763533533,-6.256392643381583,-5.966785413703112,-5.545204451914743,46563.572469617946
h2_v1_j9__v0_j11,h2,v1_j9__v0_j11,2555.81080366,2.065e-08,False,-9.521839377597734,-7.870541609454767,-7.732954153155247,-7.196321499162719,-6.484245244981159,-6.21175370338336,-5.897132699539445,53254.45626714917
h2_v1_j9__v0_j9,h2,v1_j9__v0_j9,5620.55031384,2.435e-07,False,-8.11533826143161,-6.475034374820378,-6.335488757676407,-5.7879901026055,-5.074955216074617,-4.803129655214567,-4.486766666024134,117113.26615298336
h2_v1_j9__v0_j7,h2,v1_j9__v0_j7,8231.19998739,2.982e-07,False,-7.875968280736757,-6.246956147784216,-6.104291081109209,-5.54183857965891,-4.827405722129342,-4.561074356329833,-4.242448951779993,171510.37906518416
h2_v1_j9__v1_j7,h2,v1_j9__v1_j7,2476.01311732,1.821e-07,False,-8.591118551166346,-6.938731785035511,-6.801190536101525,-6.264418365227004,-5.552661029880706,-5.280525519174942,-4.966075230290353,51591.74226995984
h2_v1_j10__v0_j12,h2,v1_j10__v0_j12,2280.65726765,1.262e-08,False,-10.264232317569904,-8.595889635729034,-8.462214954764216,-7.911918046161494,-7.216068642378305,-6.987159927657963,-6.769565282196402,47521.18683687201
h2_v1_j10__v0_j10,h2,v1_j10__v0_j10,5543.34451643,2.385e-07,False,-8.60835087882222,-6.951447598283753,-6.815417726677856,-6.252181883801388,-5.557908873847603,-5.330164426527794,-5.111864274139332,115504.5583582384
h2_v1_j10__v0_j8,h2,v1_j10__v0_j8,8390.65124354,2.341e-07,False,-8.451582214485969,-6.80853823291097,-6.668893104674984,-6.089953514785655,-5.39765223777068,-5.169256210005443,-4.9522370486047285,174832.8041583179
h2_v1_j10__v1_j8,h2,v1_j10__v1_j8,2699.36888295,2.917e-07,False,-8.827530478944201,-7.158592754060146,-7.02530477714452,-6.475455329340389,-5.7795218788744975,-5.550173322836345,-5.333300889705224,56245.721287391374
h2_v1_j11__v0_j13,h2,v1_j11__v0_j13,2018.86490147,7.396e-09,False,-10.125533952405585,-8.481558706318733,-8.342076325204104,-7.812053819171003,-7.065728688297799,-6.824458164845106,-6.653768102925095,42066.319013384644
h2_v1_j11__v0_j11,h2,v1_j11__v0_j11,5460.02804945,2.337e-07,False,-8.195470374397864,-6.564141352815156,-6.423615274360986,-5.882792842284884,-5.138159664801678,-4.898404471969717,-4.729212513762863,113768.52486907484
h2_v1_j11__v0_j9,h2,v1_j11__v0_j9,8524.76755819,1.678e-07,False,-8.168874849833617,-6.545670218889116,-6.401559027862782,-5.844952644277372,-5.095081470351294,-4.862482468986021,-4.691196550405874,177627.3347249043
h2_v1_j11__v1_j9,h2,v1_j11__v1_j9,2904.21724436,4.374e-07,False,-8.196419234238075,-6.548758748124268,-6.410096042652175,-5.881202131803777,-5.134858436704505,-4.89372759229749,-4.723844132669132,60514.0685721293
h2_v1_j12__v0_j14,h2,v1_j12__v0_j14,1770.55469473,4.129e-09,False,-11.008396156470909,-9.348194120717888,-9.197172626661892,-8.63541701540009,-7.873490696904119,-7.646959754071252,-7.516893091215345,36892.37381110853
h2_v1_j12__v0_j12,h2,v1_j12__v0_j12,5370.96532057,2.293e-07,False,-8.785596570112515,-7.125850711348714,-6.97535763496194,-6.410195050267863,-5.648053823607363,-5.423206700241424,-5.291898871535492,111912.75870931809
h2_v1_j12__v0_j10,h2,v1_j12__v0_j10,8633.65256934,1.054e-07,False,-8.943401362605897,-7.289800959871711,-7.135414735355675,-6.553867176352714,-5.791960159547737,-5.567797943050492,-5.438936529209123,179896.13023047612
h2_v1_j12__v1_j10,h2,v1_j12__v1_j10,3090.30805292,6.21e-07,False,-8.583249266873782,-6.915992466993765,-6.767732048003985,-6.21469450824234,-5.453197229031923,-5.22458258130427,-5.093511510150744,64391.57187244608
h2_v1_j13__v0_j15,h2,v1_j13__v0_j15,1535.65487405,2.177e-09,False,-11.010174586123748,-9.35672569620112,-9.187827546036472,-8.616222830309551,-7.805800383888219,-7.560311583010164,-7.433152757374149,31997.85571546143
h2_v1_j13__v0_j13,h2,v1_j13__v0_j13,5276.51429459,2.253e-07,False,-8.449900159869175,-6.791636036790744,-6.625387772388732,-6.062685429960224,-5.250625371792499,-5.004710510278168,-4.876168226431906,109944.71865516531
h2_v1_j13__v0_j11,h2,v1_j13__v0_j11,8717.67744257,5.32e-08,False,-8.886655921686115,-7.23408426199833,-7.064526378109615,-6.482457033269442,-5.676450687882545,-5.427773348339184,-5.304952203325424,181646.92451085552
h2_v1_j13__v1_j11,h2,v1_j13__v1_j11,3257.64939312,8.418e-07,False,-8.077162961330506,-6.415063323768191,-6.24791408461218,-5.695791875939656,-4.882782480998559,-4.636020307066385,-4.506912904919788,67878.39964178066
h2_v1_j14__v0_j16,h2,v1_j14__v0_j16,1313.93545095,1.07e-09,False,-12.014689055194683,-10.321099123841556,-10.144251731114684,-9.5584152408373,-8.718458563010351,-8.454708737573657,-8.331579816459174,27377.97254408281
h2_v1_j14__v0_j14,h2,v1_j14__v0_j14,5177.01909816,2.219e-07,False,-9.098680435638304,-7.400358812472348,-7.225344703056685,-6.644367086122143,-5.805829961720082,-5.541235628143922,-5.415845192270771,107871.57514255273
h2_v1_j14__v0_j12,h2,v1_j14__v0_j12,8777.429724,1.668e-08,False,-10.004735382672065,-8.328302571776664,-8.150623492096251,-7.550883629010439,-6.709696728923377,-6.447274539522697,-6.331565023663684,182891.96004076226
h2_v1_j14__v1_j12,h2,v1_j14__v1_j12,3406.46440343,1.097e-06,False,-8.577491949191733,-6.875345163613871,-6.700187571174343,-6.127906766489564,-5.290658102531795,-5.025856456440918,-4.897183069314111,70979.2013314442
h2_v1_j15__v0_j17,h2,v1_j15__v0_j17,1105.03995982,4.819e-10,False,-12.105704769570522,-10.392169444581446,-10.203216912952517,-9.62401989467062,-8.740320208583594,-8.441813960505756,-8.297252697199932,23025.29675882655
h2_v1_j15__v0_j15,h2,v1_j15__v0_j15,5072.80312516,2.191e-07,False,-8.788275242961653,-7.083609655977484,-6.891763052521093,-6.308307363226177,-5.422838557817364,-5.125926019072922,-4.9823191248704894,105700.06660658475
h2_v1_j15__v0_j13,h2,v1_j15__v0_j13,8813.6625457,4.735e-10,False,-11.224292488750269,-9.538902250449386,-9.348085136239613,-8.744574031267003,-7.857988034583046,-7.5640804774557,-7.429252257418944,183646.9295462886
h2_v1_j15__v1_j13,h2,v1_j15__v1_j13,3537.14825111,1.381e-06,False,-8.142593072719782,-6.426571468485154,-6.237860960868884,-5.661409447588154,-4.777872119873702,-4.479229788691828,-4.334722690247363,73702.21089112332
h2_v1_j16__v0_j18,h2,v1_j16__v0_j18,908.51359609,1.933e-10,False,-13.221457346178134,-11.500089593730351,-11.298889916647385,-10.704831093692428,-9.80935096880097,-9.487860670650605,-9.316945088612767,18930.351770092
h2_v1_j16__v0_j16,h2,v1_j16__v0_j16,4964.16267011,2.171e-07,False,-9.438311213502022,-7.720226612905025,-7.518929863212704,-6.918883650501985,-6.02503089708447,-5.702657279486175,-5.533920254849101,103436.36682332291
h2_v1_j16__v0_j14,h2,v1_j16__v0_j14,8827.24631732,8.087e-09,False,-10.633176372779038,-8.93373670501439,-8.730408810436542,-8.111309518530902,-7.21097230157278,-6.894175903781464,-6.736004269128541,183929.96942179283
h2_v1_j16__v1_j14,h2,v1_j16__v1_j14,3650.22721916,1.686e-06,False,-8.675856608085056,-6.955731961270294,-6.753703725993924,-6.160586864973439,-5.265143257077509,-4.944202712048603,-4.772242459254335,76058.39427924009
h2_v1_j17__v0_j19,h2,v1_j17__v0_j19,723.82745245,6.617e-11,False,-13.463875203274585,-11.732418682944772,-11.519311383544547,-10.920381703423343,-10.000099264404744,-9.650811205948122,-9.455749176568109,15082.116937709154
h2_v1_j17__v0_j17,h2,v1_j17__v0_j17,4851.36103781,2.16e-07,False,-9.124167193671587,-7.399565835775594,-7.187139760995362,-6.58274439475557,-5.663007801255708,-5.313713384621136,-5.11997564874276,101085.96217459816
h2_v1_j17__v0_j15,h2,v1_j17__v0_j15,8819.12420315,4.178e-08,False,-9.600043023412397,-7.887071225732097,-7.67405754680983,-7.050135948155327,-6.128317054601251,-5.780062331347681,-5.59680075006146,183760.73202235636
h2_v1_j17__v1_j15,h2,v1_j17__v1_j15,3746.32107799,2.004e-06,False,-8.269494717541708,-6.536563644319471,-6.3244852406983,-5.725961745008862,-4.805859601317985,-4.45676352068682,-4.26313655251337,78060.66541577161
h2_v1_j18__v0_j20,h2,v1_j18__v0_j20,550.39878252,1.791e-11,False,-14.78135445887038,-13.036991735559248,-12.824491269458075,-12.209088723675473,-11.30936595434072,-10.9409306701633,-10.709210790730843,11468.449797312447
h2_v1_j18__v0_j18,h2,v1_j18__v0_j18,4734.62297384,2.156e-07,False,-9.76505913455232,-8.03221823739091,-7.819987890589269,-7.1962953676125245,-6.297320612484489,-5.9310070120146205,-5.7001819355506615,98653.53559846063
h2_v1_j18__v0_j16,h2,v1_j18__v0_j16,8790.27204929,1.025e-07,False,-9.85693965772144,-8.119395788399672,-7.907929490254943,-7.265931079034274,-6.36559839753327,-5.998568860196254,-5.773376005589292,183159.55068148792
h2_v1_j18__v1_j16,h2,v1_j18__v1_j16,3826.10937919,2.325e-06,False,-8.823719044299457,-7.08659408948747,-6.873281689581586,-6.254450052647012,-5.354929302964151,-4.98812507887308,-4.757394710391328,79723.18385837335
h2_v1_j19__v0_j21,h2,v1_j19__v0_j21,387.607426,3.296e-12,False,-15.338143155702484,-13.57509092011752,-13.358537287503992,-12.737990547485438,-11.829300927623626,-11.447503451480223,-11.18625953503754,8076.428304935378
h2_v1_j19__v0_j19,h2,v1_j19__v0_j19,4614.12923318,2.162e-07,False,-9.449134171562113,-7.695109315154613,-7.47782669431843,-6.848281732687365,-5.939994501854268,-5.558105757041209,-5.298599738044637,96142.85341758317
h2_v1_j19__v0_j17,h2,v1_j19__v0_j17,8741.66281854,1.902e-07,False,-9.267058662207026,-7.506277071614061,-7.29010925125652,-6.640151010919826,-5.732466189329982,-5.349766306542209,-5.096364609319439,182146.6986544722
h2_v1_j19__v1_j17,h2,v1_j19__v1_j17,3890.30178073,2.638e-06,False,-8.433149627111655,-6.678898492213252,-6.460392278316042,-5.835455729872416,-4.92631654744889,-4.544011449026559,-4.285941607109991,81060.73647987403
h2_v1_j20__v0_j22,h2,v1_j20__v0_j22,234.80865834,2.854e-13,False,-17.25538790803412,-15.47436215196154,-15.256400608388931,-14.61002761003408,-13.7348508537247,-13.368852337849148,-13.100975668064487,4892.618580690135
h2_v1_j20__v0_j20,h2,v1_j20__v0_j20,4490.01095458,2.177e-07,False,-10.102093058744469,-8.32124536783897,-8.105027461491149,-7.447456942132702,-6.575041557950563,-6.206340106555967,-5.941410918837455,93556.64812015193
h2_v1_j20__v0_j18,h2,v1_j20__v0_j18,8674.2351459,3.034e-07,False,-9.708869869815572,-7.9184260966269076,-7.7090080883233565,-7.033951690154346,-6.1558892365918725,-5.789880391039389,-5.52768145791393,180741.7339213001
h2_v1_j20__v1_j18,h2,v1_j20__v1_j18,3939.61217206,2.933e-06,False,-9.025801869119054,-7.244899626566169,-7.028765049110542,-6.3747834354708175,-5.502273176244459,-5.133655126044368,-4.867305988275301,82088.1983228395
h2_v1_j21__v0_j23,h2,v1_j21__v0_j23,91.34269673,2.697e-15,False,-19.357256655757908,-17.55080286963085,-17.32893985223748,-16.6696994459126,-15.791275949813189,-15.418440870261628,-15.127716033492351,1903.2729814606294
